REFERENCE,CHILD_DRIVE,BIRTHDAY,AGE,HOME_CHILDREN,JOB_TENURE,INCOME,HOME_VAL,MARITAL_STATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,CAR_COST,PTIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,CITY_RURAL
62434528,2,10-May-56,43,3,11,"£137,103",£0,No,F,Masters,Manager,28,Private,19510,1,Sports Car,8890,3,No,0,4214,15,1,City
935079846,0,05-Sep-50,49,0,9,,£0,No,M,PhD,,31,Commercial,33710,3,Panel Truck,34351,2,Yes,2,0,18,0,City
948288985,0,25-Oct-53,46,0,10,"£79,538",£0,No,F,Bachelors,Manager,13,Private,14050,3,Minivan,0,0,Yes,2,0,11,0,City
396323054,0,03-Dec-53,45,1,11,"£185,836","£513,188",Yes,F,PhD,Lawyer,28,Private,10250,1,SUV,4307,3,No,6,0,20,0,City
299024508,0,01-Jan-53,46,0,14,,"£405,614",No,M,Masters,,22,Commercial,33320,4,Panel Truck,0,0,Yes,1,0,12,0,City
39392545,0,08-Nov-54,45,0,11,"£61,931","£213,530",Yes,M,Masters,,30,Commercial,10910,13,Pickup,25106,2,No,0,0,,0,City
536604822,0,23-Jul-51,48,0,9,"£61,509","£196,220",Yes,M,Masters,,40,Commercial,23230,6,Panel Truck,0,0,No,1,0,17,0,City
429992959,0,16-Sep-36,63,0,9,"£74,426",£0,No,F,PhD,Doctor,11,Private,27600,1,SUV,0,0,No,0,0,18,0,City
160577728,0,18-Feb-55,44,0,9,"£74,722","£234,731",Yes,F,Bachelors,Professional,9,Private,23640,6,Minivan,0,0,No,0,0,1,0,City
108385737,1,07-Mar-54,45,2,11,"£102,393",£0,No,M,Bachelors,Professional,25,Private,1500,1,Minivan,0,0,No,2,2390,11,1,City
414142186,0,17-Sep-37,62,0,15,"£40,656","£206,576",Yes,F,High School,Clerical,58,Private,9170,4,Sports Car,42342,2,Yes,2,4211,7,1,City
421217157,0,24-Nov-50,48,0,0,£0,"£97,337",Yes,F,High School,Home Maker,51,Private,8660,3,Sports Car,8363,2,No,3,0,,0,City
935010485,1,10-Feb-62,37,2,12,,"£201,107",Yes,F,Bachelors,z_Blue Collar,42,Commercial,5200,1,SUV,2718,1,No,1,4871,3,1,City
537840281,0,27-Aug-64,35,0,,"£29,371",£0,No,F,<High School,Clerical,48,Private,4860,10,Sports Car,0,0,No,0,0,1,0,City
748139140,0,13-Aug-51,48,0,12,"£31,773","£166,411",Yes,M,High School,Clerical,14,Commercial,9640,13,Pickup,1212,1,No,4,1340,1,1,City
601118153,0,26-Dec-59,39,0,11,"£33,727",£0,No,F,Bachelors,Clerical,27,Private,10850,1,SUV,8350,1,No,2,0,12,0,City
808304017,0,30-May-50,49,0,0,£0,"£160,983",Yes,F,Masters,Professional,41,Private,6400,10,SUV,9115,1,No,6,0,14,0,City
803325269,0,24-Jul-55,44,2,15,"£139,330","£312,463",No,F,High School,z_Blue Collar,35,Commercial,22050,10,Sports Car,0,0,No,0,0,1,0,Rural
701235200,0,22-Dec-48,50,0,13,"£163,296","£453,883",No,F,PhD,Lawyer,42,Private,22830,1,Minivan,0,0,No,0,0,14,0,Rural
916609661,0,03-Oct-69,30,1,10,"£17,455","£142,106",No,F,<High School,z_Blue Collar,49,Private,12380,13,Minivan,0,0,No,0,0,6,0,Rural
469714824,0,03-Nov-45,54,0,,"£71,007","£240,833",Yes,M,Bachelors,Manager,62,Private,14000,6,Minivan,0,0,No,0,0,11,0,City
46606719,0,06-Sep-61,38,0,0,£0,£0,Yes,M,High School,Student,41,Commercial,17470,10,Van,3157,2,No,5,0,6,0,Rural
454040458,0,09-Apr-46,53,0,6,"£38,036","£150,620",Yes,F,High School,z_Blue Collar,32,Commercial,13140,1,SUV,0,0,No,4,2386,1,1,City
951246359,0,30-Mar-46,53,0,13,"£41,199","£148,820",No,F,Bachelors,Manager,21,Private,15360,1,SUV,0,0,No,0,0,8,0,City
389315422,0,28-Nov-69,29,1,10,"£38,042","£201,749",No,M,High School,Professional,15,Private,15160,6,Minivan,0,0,No,0,0,1,0,City
180660768,0,20-Jan-41,58,0,11,"£91,223",£0,No,M,Masters,Lawyer,23,Private,10620,6,Pickup,0,0,No,0,0,,0,City
184578161,0,25-Jul-44,55,0,7,"£45,787","£174,582",Yes,F,Masters,Lawyer,5,Private,19380,6,Minivan,0,0,No,0,0,13,0,City
59798468,0,17-Sep-44,55,0,,"£84,964","£225,728",Yes,M,Bachelors,z_Blue Collar,21,Commercial,5760,1,Pickup,969,2,No,6,0,11,0,City
957817015,0,04-Nov-43,56,0,8,"£38,240","£191,819",Yes,F,High School,Clerical,28,Private,16220,4,SUV,0,0,No,0,0,,0,Rural
402443529,0,20-Dec-59,39,2,0,£0,"£67,982",Yes,F,High School,Home Maker,36,Private,8750,4,Sports Car,0,0,No,0,0,8,0,City
298667574,2,26-Jun-55,44,2,13,"£142,588","£359,412",Yes,M,Masters,Manager,29,Private,21790,6,Minivan,0,0,No,2,0,9,0,City
303462460,0,13-May-65,34,0,11,"£51,565",£0,No,M,Masters,Lawyer,36,Private,18110,1,Van,759,2,No,3,0,15,0,City
629946797,0,08-Aug-65,34,3,0,£0,"£66,093",Yes,F,High School,Home Maker,25,Private,11740,9,SUV,1800,2,No,2,5597,1,1,City
783473090,0,06-Jan-63,36,0,11,"£105,384","£262,159",Yes,M,Masters,Professional,24,Private,13800,7,Minivan,31695,3,Yes,4,0,17,0,City
8565171,0,13-Oct-58,41,0,10,"£66,265","£160,232",Yes,M,Masters,Lawyer,59,Private,12230,4,Minivan,0,0,No,1,13026,9,1,City
950995873,0,30-Apr-53,46,0,7,,£0,No,M,Masters,,17,Commercial,23350,13,Panel Truck,4678,3,No,6,4012,17,1,City
867703916,0,08-Mar-54,45,0,12,"£32,394",£0,No,F,High School,Clerical,32,Private,13770,4,SUV,0,0,No,0,0,1,0,City
593582812,0,31-Jul-57,42,0,9,"£76,226","£222,278",Yes,M,Bachelors,z_Blue Collar,18,Commercial,23390,13,Panel Truck,0,0,No,0,0,14,0,City
22340563,1,25-May-61,38,3,16,"£7,528","£112,216",Yes,M,<High School,Clerical,26,Private,8080,1,Pickup,0,0,No,0,0,8,0,Rural
679555193,0,16-Feb-66,33,4,0,£0,£0,No,M,High School,Student,14,Commercial,15090,1,Minivan,1631,1,No,2,7744,5,1,City
161607403,0,01-Aug-62,37,0,0,,"£74,629",Yes,F,Bachelors,Student,47,Commercial,12850,7,SUV,0,0,No,3,3609,6,1,City
700623278,1,05-Jan-57,42,1,9,"£32,797","£160,340",Yes,F,Masters,Lawyer,62,Private,21690,1,Minivan,0,0,No,2,0,14,0,City
755810990,0,20-Nov-51,47,0,11,"£44,705","£222,243",Yes,F,Bachelors,Professional,49,Private,12840,1,SUV,1533,2,No,0,5023,10,1,City
464090162,0,11-Nov-56,43,1,0,£0,"£70,030",Yes,F,Bachelors,Home Maker,26,Private,8350,1,SUV,0,0,No,3,0,7,0,City
170483243,0,06-Jun-47,52,0,9,"£68,992","£215,684",No,F,Bachelors,z_Blue Collar,37,Commercial,15120,1,Minivan,0,0,No,3,0,10,0,Rural
421316364,0,08-Oct-56,43,0,11,"£132,561","£311,918",No,M,Masters,Professional,8,Commercial,30150,16,Panel Truck,12294,1,No,0,0,1,0,City
505563410,0,06-Jan-35,64,0,15,"£31,738","£198,980",Yes,M,<High School,z_Blue Collar,23,Commercial,14620,6,SUV,3994,2,No,0,5146,1,1,City
813759954,0,21-Jan-33,66,1,17,"£96,830","£327,129",Yes,M,Masters,Professional,23,Private,11180,7,SUV,0,0,No,0,0,16,0,City
37074844,0,24-Feb-39,60,0,9,"£125,893",£0,No,M,PhD,,21,Commercial,7500,9,Pickup,7278,2,No,4,0,15,0,City
130470336,2,08-Dec-63,35,4,6,"£154,577","£390,706",No,F,Bachelors,z_Blue Collar,26,Private,20450,6,SUV,4645,1,No,3,0,1,0,City
637739719,0,23-Apr-47,52,0,7,"£64,014","£249,271",Yes,M,<High School,z_Blue Collar,33,Commercial,7900,4,Pickup,8882,3,No,1,2104,5,1,City
427956603,0,11-Sep-47,52,0,11,"£79,348","£266,252",Yes,F,High School,Manager,23,Private,13150,11,SUV,0,0,No,2,0,1,0,City
993272296,0,26-Jul-43,56,2,14,"£192,089","£465,097",Yes,M,PhD,,31,Commercial,21100,1,Van,0,0,No,0,6471,,1,City
880941719,1,08-Jun-61,38,1,7,,£0,Yes,F,High School,Student,41,Private,7050,4,Sports Car,0,0,No,0,0,10,0,Rural
765577228,0,08-May-44,55,0,15,"£108,152","£331,075",Yes,F,Masters,Manager,18,Private,12320,1,SUV,0,0,Yes,0,0,15,0,City
879477038,0,14-Dec-51,47,0,14,,"£276,793",Yes,M,Bachelors,Manager,48,Private,21320,1,Van,0,0,No,0,0,13,0,City
718294261,0,30-Sep-62,37,0,12,"£123,520","£385,266",Yes,M,Bachelors,z_Blue Collar,14,Commercial,17550,1,Van,0,0,No,0,0,,0,City
538875785,0,06-Jul-52,47,0,13,"£45,257","£161,331",Yes,M,Bachelors,Clerical,34,Commercial,29210,6,Panel Truck,0,0,No,0,0,,0,City
106556153,0,04-Mar-73,26,0,8,"£53,244",£0,No,M,Bachelors,Professional,28,Commercial,20920,3,Van,6224,1,No,1,4012,8,1,City
199037688,1,05-Sep-38,61,2,17,"£41,857","£171,043",Yes,F,Masters,Manager,35,Private,20870,1,Sports Car,0,0,No,0,0,21,0,City
602893924,0,22-Oct-58,41,1,8,"£126,468",£0,No,F,Masters,Manager,34,Commercial,32690,3,Pickup,0,0,No,2,2131,18,1,City
52095937,3,19-Jun-59,40,3,9,"£75,516","£251,140",Yes,F,High School,z_Blue Collar,53,Commercial,13050,5,Sports Car,0,0,Yes,0,0,6,0,Rural
351243985,0,06-Mar-47,52,0,16,"£76,954","£249,290",No,M,Bachelors,Professional,44,Private,19540,6,Minivan,0,0,Yes,0,0,11,0,City
838970447,0,29-Jul-41,58,1,8,"£150,352","£414,918",Yes,F,Masters,Manager,21,Private,24240,6,Pickup,0,0,No,0,0,17,0,City
515204929,0,20-Jan-47,52,0,8,"£88,560","£241,588",Yes,M,Masters,Lawyer,14,Private,13630,1,Minivan,0,0,No,4,0,17,0,City
711833264,1,25-Apr-61,38,1,12,"£37,580","£170,719",Yes,F,<High School,Clerical,37,Private,5260,7,SUV,867,2,No,0,8844,1,1,City
818910510,0,08-Apr-58,41,2,15,"£23,344","£148,055",Yes,M,High School,z_Blue Collar,10,Private,7930,1,Pickup,0,0,No,1,6274,1,1,City
243016778,0,20-Jan-62,37,0,16,"£43,290","£155,596",Yes,F,Bachelors,z_Blue Collar,29,Private,23640,1,SUV,0,0,No,0,0,10,0,City
456565450,0,22-Nov-50,48,0,10,"£48,737","£220,264",Yes,M,Bachelors,Manager,24,Private,11220,9,Pickup,0,0,No,1,0,1,0,City
693628088,0,16-Jan-52,47,0,12,"£64,259","£202,435",Yes,M,High School,Clerical,26,Private,25100,18,Minivan,9526,4,No,3,0,9,0,City
735552551,0,19-Nov-57,41,0,12,"£110,386","£338,843",Yes,M,Masters,,21,Commercial,16640,1,Van,0,0,No,2,3552,14,1,City
504537312,0,17-Mar-50,49,0,12,"£53,765",£0,No,F,Bachelors,Professional,5,Private,12360,4,SUV,0,0,No,0,0,1,0,City
82973186,0,05-Jul-58,41,0,6,"£12,541",£0,No,M,<High School,Clerical,5,Private,7500,1,Minivan,0,0,No,0,0,1,0,Rural
568473723,0,26-Sep-52,47,0,12,"£104,271","£270,456",Yes,M,Masters,,41,Commercial,36120,4,Panel Truck,0,0,No,0,0,11,0,City
363126949,0,03-Aug-69,30,2,,"£26,226","£168,482",Yes,F,High School,Clerical,68,Private,23610,4,SUV,0,0,No,1,0,1,0,Rural
411375726,0,05-Apr-55,44,1,,"£67,278","£221,438",Yes,F,Masters,Lawyer,50,Private,20210,1,Minivan,0,0,No,0,0,16,0,Rural
789568994,0,16-Jun-53,46,0,10,"£104,990","£307,153",No,F,Bachelors,Professional,39,Private,16080,13,SUV,0,0,No,0,0,7,0,City
927823143,0,02-Jan-50,49,0,6,"£89,948",£0,No,F,Bachelors,Professional,37,Private,18160,7,SUV,0,0,No,4,0,9,0,City
453867386,0,11-Apr-66,33,1,12,"£111,427","£319,554",Yes,F,Masters,,36,Commercial,28180,1,Van,0,0,No,3,0,4,0,City
747049542,1,21-Jun-65,34,3,12,"£29,431","£141,145",Yes,F,<High School,Clerical,12,Private,22560,1,Minivan,0,0,No,1,0,,0,City
1307371,0,08-Aug-55,44,0,14,"£44,790","£206,285",Yes,F,Masters,,5,Commercial,19800,4,Pickup,37163,1,No,4,0,9,0,City
237786417,1,20-Jan-56,43,2,11,"£76,159",£0,No,F,Bachelors,Professional,53,Private,19750,4,SUV,0,0,Yes,0,1803,,1,City
179968769,0,03-Dec-36,62,0,6,"£107,734",£0,No,F,PhD,Lawyer,55,Private,18470,3,SUV,0,0,No,0,0,15,0,City
180832267,0,18-Jan-57,42,0,0,£0,£0,No,M,<High School,Student,46,Commercial,5700,11,Pickup,0,0,No,5,10721,1,1,City
328154114,0,20-Aug-63,36,2,12,"£25,282",£0,No,F,High School,Clerical,38,Private,11160,1,SUV,0,0,No,0,0,1,0,Rural
316724150,0,24-Dec-51,47,0,11,"£18,549","£117,994",Yes,M,Masters,Lawyer,24,Private,12800,7,Minivan,0,0,No,0,0,14,0,City
582086109,0,30-Nov-48,50,0,14,,"£149,840",Yes,M,High School,Clerical,11,Commercial,17300,13,Van,0,0,No,0,0,7,0,City
680425927,0,07-Feb-48,51,0,9,"£50,166","£189,545",No,M,High School,z_Blue Collar,32,Commercial,11620,1,Pickup,50701,3,Yes,0,0,1,0,City
541204921,0,08-Sep-53,46,0,8,"£73,872","£249,320",Yes,F,Masters,Lawyer,43,Private,20240,4,Sports Car,0,0,No,0,0,16,0,Rural
329922821,0,18-Feb-49,50,0,14,"£73,343","£249,508",Yes,F,High School,Manager,60,Private,20010,1,Minivan,4179,2,No,4,0,8,0,City
271813109,0,18-Sep-56,43,2,15,"£49,849",£0,No,F,Masters,Lawyer,35,Private,13130,1,SUV,3622,3,No,4,6133,20,1,City
394642738,1,28-Feb-60,39,1,16,"£12,054",£0,Yes,F,<High School,Student,28,Commercial,15760,4,Pickup,1738,2,Yes,4,4946,1,1,City
93412915,0,03-Jul-56,43,3,14,"£48,184","£211,280",Yes,F,High School,z_Blue Collar,49,Commercial,14530,12,Sports Car,6891,2,No,5,0,1,0,City
531912267,0,13-Mar-39,60,3,18,"£78,936","£237,555",Yes,F,Masters,Lawyer,40,Private,20350,6,SUV,0,0,No,0,5250,15,1,City
753941980,0,07-Mar-44,55,0,0,£0,£0,No,M,<High School,Student,34,Private,7000,4,Pickup,0,0,No,0,0,1,0,Rural
116801717,0,21-May-59,40,0,10,"£78,914","£230,887",No,F,Bachelors,Manager,36,Private,5500,10,SUV,6803,2,No,6,0,10,0,City
56874449,0,28-Apr-60,39,0,6,"£77,125","£210,840",Yes,F,Bachelors,Clerical,50,Private,9570,7,Sports Car,0,0,No,1,0,13,0,City
426760177,0,18-Dec-49,49,0,,"£38,326","£131,946",Yes,M,Masters,Lawyer,5,Private,10230,4,Pickup,0,0,No,0,0,17,0,City
632192290,0,27-Oct-61,38,0,14,"£25,835","£108,588",Yes,M,High School,Clerical,29,Private,8490,6,Pickup,0,0,No,1,0,12,0,City
293412653,0,08-Nov-57,42,0,12,"£47,660","£178,404",Yes,M,Masters,Professional,31,Private,11940,7,Pickup,974,2,No,6,0,18,0,City
